Meter ID,Activity,Latitude,Longitude
09818105,Public Garden,38.34482901576335,-0.48876573214758656
D16IA006418Z,Font,38.3428450636868,-0.4839130960699833
D14IA077894S,School,38.341660379213174,-0.48489001646305235
J16JD003537K,Municipal Office,38.34222459257531,-0.4832983210807067
G16TC436511N,School,38.34943929208318,-0.4824225648443488
N-820719,Fire Fire Hydrant,38.345241683020625,-0.48982667680444936
W11TB000098E,Public Garden,38.3467719225748,-0.48661302112130483
I17BD096786Q,Public Garden,38.34221932968637,-0.48478867128025993
504421495,Irrigation Hydrant,38.343321365458955,-0.48405456178855
G15RG795488A,Public Garden,38.34085499249348,-0.48624581619543883
I17BC070635N,Public Garden,38.34466074721776,-0.4819443442906646
G-639317,Irrigation Hydrant,38.34967491770074,-0.48377619269288463
G15TB415097Q,Municipal Office,38.34861237300093,-0.4873966234017068
1001952473,Municipal Office,38.34343792341484,-0.4880120294908685
311278,Fire Fire Hydrant,38.343488192558496,-0.4879725458993571
097019618,Municipal Sport Facility,38.34731735846481,-0.488514897474154
5298906,Municipal Office,38.34188846729486,-0.4896857189557825
D14IA077922F,Font,38.34825342095738,-0.48652913303983814
G17TB475594Y,Public Garden,38.34887661520216,-0.4826260142739835
03853487,Public Garden,38.34612212455365,-0.4820987649271664
G16TD424440J,Municipal Office,38.34586810666297,-0.4883354236058936
03717430 ,Public Garden,38.344294267953515,-0.4834030466129415
I17BD504848Q,Public Garden,38.34935987386422,-0.4863522945211578
J18JD000489Z,Public Garden,38.34139889335542,-0.4826635264748019
A12ZB903698H,Public Garden,38.34073346264903,-0.4820796517811522
I19BB041442G,Municipal Sport Facility,38.344020109108584,-0.48205168341595045
D13TD130819N,Font,38.3408595929492,-0.4826218417924629
I17BD096794Q,Municipal Office,38.347713852226754,-0.48829672077136105
G-605393,Fire Fire Hydrant,38.342037375429676,-0.4857015726266736
07838129,School,38.34466363228173,-0.4889959492919203
D-811212,Fire Fire Hydrant,38.34661254481185,-0.4811907899593933
08752269,Public Garden,38.348686601997585,-0.484444565626237
D15TD031349U,Irrigation Hydrant,38.346096916182354,-0.4827008296146189
I18BA063222Y,School,38.345122808799985,-0.4838331095150884
N-794225,Fire Fire Hydrant,38.34719806359873,-0.4840936937314063
E15ND378254R,Municipal Sport Facility,38.34261473021161,-0.48761644827920764
N-794224,Fire Fire Hydrant,38.34686909653659,-0.48975314005139803
I19BD041938N,Municipal Office,38.34005596913358,-0.48734445182813246
G-605376,Fire Fire Hydrant,38.34855422457989,-0.48458614423099444
I16FA075098N,School,38.343451670844495,-0.4883237766427486
07632664,Municipal Office,38.34688020349966,-0.48853079784701947
009542380,Irrigation Hydrant,38.3404057391567,-0.4891869235025468
03629265 ,Irrigation Hydrant,38.34060395248503,-0.482646064570459
03829340,Irrigation Hydrant,38.34252981337293,-0.48491515185033807
G17TD470110M,Public Garden,38.34132011228408,-0.4832018123401674
980594748,Irrigation Hydrant,38.34709559874903,-0.48685161041304564
I18BD046731L,Municipal Sport Facility,38.34401795996086,-0.4887624061894248
G-329760,Public Garden,38.34608930443051,-0.48078501023482034
G17TC488728S,Public Garden,38.343918653819806,-0.48235250504454397
J19JE000010G,Public Garden,38.34469427588197,-0.4875327506901864
I18BD012109Q,Municipal Sport Facility,38.34262973512976,-0.48390157301710895
I16FA054460X,School,38.343226790220704,-0.48013122177694917
06926594,School,38.343876986250294,-0.4857539023573362
E15NC377667X,Irrigation Hydrant,38.34400293545217,-0.48985644243572835
04657097,Public Garden,38.34332430489386,-0.4823771311995477
C12UA114432X,Font,38.34077882462724,-0.48929403321247245
W11TB000096C,Public Garden,38.34484325108079,-0.48385439798737073
G17TB488443B,Public Garden,38.34300445426891,-0.48654750506376826
G15TB390649O,Public Garden,38.34969748401006,-0.4880625965023213
G16TB432030E,Public Garden,38.34814385158655,-0.48907238826706956
I17BB045050S,Public Garden,38.34457328701047,-0.48870857546992225
W11TB000097D,Public Garden,38.347983005779355,-0.481631687704319
09805094,Public Garden,38.3420647534896,-0.48041008532813656
I17BB045054W,Public Garden,38.349313893982824,-0.48189780945844113
5322580057,Public Garden,38.34741940892629,-0.48954268490310165
09809946,Public Garden,38.34489249821789,-0.4854701367393947
201120,Fire Fire Hydrant,38.34473971708027,-0.48754033724087403
G19RH768636I,Municipal Sport Facility,38.34739656053355,-0.4831724954941561
A11ZB920196F,Irrigation Hydrant,38.34014995521693,-0.4841263308899951
009505292,Irrigation Hydrant,38.34487732035667,-0.4866074194790737
A11ZC000665I,Public Garden,38.347056366572545,-0.4841436850015964
D13NA002294C,Municipal Office,38.34553581467192,-0.48449933348075025
08813659,Public Garden,38.34799620046729,-0.48388288324707496
